Name,Address,Email,Phone
Realschule auf dem Galgenberg   ,Galgenbergstr. 42 73431 Aalen,poststelle@04160295.schule.bwl.de,07361/9370-3
Reinhard-von-Koenig-Schule Fachsenfeld Grundschule ,Kirchstr. 45-47 73434 Aalen,poststelle@04125325.schule.bwl.de,07366/96310
Rombachschule Unterrombach (Grundschule)  ,Fuchsweg 27 73434 Aalen,poststelle@04166182.schule.bwl.de,07361/42787
Schillerschule Gemeinschaftsschule  ,Galgenbergstr. 40 73431 Aalen,poststelle@04125283.schule.bwl.de,07361/9370-0
"Schloss-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Sprache, Schüler in Krankenhausbehandl.",Schloßstr. 7 73433 Aalen,poststelle@04160775.schule.bwl.de,07361/73050
Schubart-Gymnasium Partnerschule für Europa  ,Rombacher Str. 30 73430 Aalen,poststelle@04103445.schule.bwl.de,07361/9561-0
Schwarzfeldschule Grundschule Dewangen ,Hohenstaufenstr. 1 73434 Aalen,poststelle@04125301.schule.bwl.de,07366/9209410
St.Loreto gGmbH Institut für soziale Berufe  ,Friedrichstr. 50 73430 Aalen,,
Technische Schule Aalen Gewerbliche Schule  ,Steinbeisstr. 2 73430 Aalen,poststelle@04101138.schule.bwl.de,07361/566-100
Theodor-Heuss-Gymnasium   ,Friedrichstr. 70 73430 Aalen,poststelle@04103457.schule.bwl.de,07361/9560-3
Uhland-Realschule   ,Turnstr. 21 73430 Aalen,poststelle@04113645.schule.bwl.de,07361/9561-40
Weitbrechtschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Pestalozzistr. 13 73433 Aalen,poststelle@04107803.schule.bwl.de,07361/9760-0
Grundschule Abstatt   ,Goldschmiedstr. 9 74232 Abstatt,poststelle@04123493.schule.bwl.de,07062/67083
"Friedrich-von-Keller-Schule Abtsgmünd Grund-, Werkreal-,  Realschule ",Gaildorfer Str. 4-6 73453 Abtsgmünd,poststelle@04124436.schule.bwl.de,07366/919254
Grundschule Hohenstadt   ,Schulstr. 5 73453 Abtsgmünd,poststelle@04124448.schule.bwl.de,07366/921818
Grundschule Pommertsweiler   ,Obere Str. 21 73453 Abtsgmünd,poststelle@04124461.schule.bwl.de,07963/228
Sonnenschule Untergröningen Abtsgmünd  ,Sonnenhalde 25 73453 Abtsgmünd,poststelle@04124473.schule.bwl.de,07975/910040
St. Jakobus-Gymnasium Abtsgmünd  ,Dr.-Albert-Grimminger-Str. 1 73453 Abtsgmünd,poststelle@04317421.schule.bwl.de,07366/9223437
Grundschule   ,Schulstr. 9 88147 Achberg,poststelle@04139543.schule.bwl.de,08380/342
Achertalschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Schulstr. 3 77855 Achern,poststelle@04108509.schule.bwl.de,07841 642-1690
Antoniusschule Oberachern Grund- und Werkrealschule  ,Benz-Meisel-Str. 7-11 77855 Achern,poststelle@04155470.schule.bwl.de,07841/6421670
Berufliche Schulen Achern   ,Jahnstr. 4 77855 Achern,poststelle@04100638.schule.bwl.de,07841/2024-0
Grund- und Gemeinschaftsschule Achern  ,Kirchstr. 15 - 19 77855 Achern,poststelle@04155469.schule.bwl.de,07841 642-1700
Grundschule Gamshurst   ,Lange Str. 132 77855 Achern,poststelle@04155494.schule.bwl.de,07841/6421610
Grundschule Mösbach   ,Josef-Nitz-Str. 3 77855 Achern,poststelle@04155512.schule.bwl.de,07841/6421630
Grundschule Önsbach   ,Zur Schule 5 77855 Achern,poststelle@04155524.schule.bwl.de,07841/642-1640
Grundschule Sasbachried   ,Rieder Str. 11 77855 Achern,poststelle@04155536.schule.bwl.de,07841/6421650
Grundschule Wagshurst   ,Hanauer Str. 9 77855 Achern,poststelle@04155548.schule.bwl.de,07841/6421660
Gymnasium Achern   ,Berliner Str. 30 77855 Achern,poststelle@04105831.schule.bwl.de,07841/642-1760
Maiwaldschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Sprache,Hanauer Str. 9 77855 Achern,poststelle@04161627.schule.bwl.de,07843/1321
Robert-Schuman-Realschule Achern  ,Kaiser-Wilhelm-Str. 3 77855 Achern,poststelle@04119234.schule.bwl.de,07841 6421730
Schloßgartenschule Grundschule Achern-Großweier  ,Großweierer Str. 84 77855 Achern,poststelle@04155500.schule.bwl.de,07841 642-1620
Vinzenz-Wachter-Grundschule   ,Schulstr. 3 77855 Achern,poststelle@04166911.schule.bwl.de,07841 642-1600
Grundschule   ,Hauptstr. 30 88480 Achstetten,poststelle@04117870.schule.bwl.de,07392 914990-0
Grundschule Adelberg   ,Börtlinger Str. 8 73099 Adelberg,poststelle@04113785.schule.bwl.de,07166/394
Grundschule Adelmannsfelden   ,Hölderlinstr. 10 73486 Adelmannsfelden,poststelle@04124485.schule.bwl.de,07963/301
Eckenberg-Gymnasium Staatliches Aufbaugymnasium mit Heim ,Eckenberg 1 74740 Adelsheim,poststelle@04112331.schule.bwl.de,06291/270
Eckenberg-Progymnasium   ,Eckenberg 1 74740 Adelsheim,poststelle@04165402.schule.bwl.de,06291/270
Martin-von-Adelsheim-Schule Gemeinschaftsschule Adelsheim ,Obere Eckenbergstr. 1 74740 Adelsheim,poststelle@04139038.schule.bwl.de,06291/6485160
Apfelbachschule (Grundschule) Affalterbach  ,Klingenstr. 14 71563 Affalterbach,poststelle@04116154.schule.bwl.de,07144/887758-10
Gebrüder-Grimm-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Gebrüder-Grimm-Str. 4 74858 Aglasterhausen,poststelle@04107931.schule.bwl.de,06262/2893
Grundschule Aglasterhausen  ,Neue Schulstr. 10 74858 Aglasterhausen,poststelle@04139051.schule.bwl.de,06262/2896
Lernhaus Ahorn (Gemeinschaftsschule)  ,Schulstr. 31 74744 Ahorn,poststelle@04128168.schule.bwl.de,06296/277
Grund- und Werkrealschule Aichhalden  ,Reißerweg 8-10 78733 Aichhalden,poststelle@04157120.schule.bwl.de,07422/6038
Grundschule Rötenberg   ,Schulstr. 11 78733 Aichhalden,poststelle@04157132.schule.bwl.de,07444/6077
Eichenwaldschule Grundschule mit Werkrealschule ,Hardsteiger Str. 18 88317 Aichstetten,poststelle@04139555.schule.bwl.de,07565/1272
Grundschule Aich   ,Pfarrgarten 13 72631 Aichtal,poststelle@04122634.schule.bwl.de,07127/51477
Grundschule Neuenhaus   ,Talstr. 19 72631 Aichtal,poststelle@04122658.schule.bwl.de,07127/59033
Weiherbachschule Grundschule  ,Schulstr. 23 72631 Aichtal,poststelle@04122646.schule.bwl.de,07127/973900
Grundschule Aichwald  ,Krummhardter Str. 58 73773 Aichwald,poststelle@04123183.schule.bwl.de,0711 /55093680
Buchhaldenschule Grundschule  ,Buchhaldenstr. 4 71134 Aidlingen,poststelle@04121277.schule.bwl.de,07034/4892
Schallenbergschule Grundschule Deufringen ,Dachteler Weg 18 71134 Aidlingen,poststelle@04121290.schule.bwl.de,07056/2414
Sonnenbergschule Werkrealschule  ,Feldbergstr. 28 71134 Aidlingen,poststelle@04121289.schule.bwl.de,07034/4766
Grundschule   ,Schulweg 3 79677 Aitern,poststelle@04163569.schule.bwl.de,07673/8448
Grundschule   ,Schulstr. 13 88319 Aitrach,poststelle@04139567.schule.bwl.de,07565/942730
Grund- und Gemeinschaftsschule Albbruck  ,Schulstr. 13 79774 Albbruck,poststelle@04152705.schule.bwl.de,07753/2908
Grundschule Buch   ,Etzwihler Str. 13 79774 Albbruck,poststelle@04152717.schule.bwl.de,07753/5422
Private europäische Musikrealschule  ,Stiegstr. 115 79774 Albbruck,,
Albert-Schweitzer-Schule Gemeinschaftsschule  ,Schulstr. 28-30 73095 Albershausen,poststelle@04113797.schule.bwl.de,07161/933120
DAA Schule für Altenpflege Albstadt der Deutschen Angestellten-Akademie ,Marktstr. 30 72458 Albstadt,,
Grundschule an der Sommerhalde Truchtelfingen  ,Sommerhalde 9 72461 Albstadt,poststelle@04148556.schule.bwl.de,07432/9843080
Gymnasium Ebingen   ,Gymnasiumstr. 15 72458 Albstadt,poststelle@04106550.schule.bwl.de,07431/53028
Hausw. Schule   ,Johannesstr. 6 72458 Albstadt,poststelle@04103263.schule.bwl.de,07431/121151
Hohenbergschule Werkrealschule  ,Hohenzollernstr. 20 72458 Albstadt,poststelle@04148489.schule.bwl.de,07431/3954
Ignaz-Demeter-Grundschule Lautlingen  ,Römerstr. 10 72459 Albstadt,poststelle@04145270.schule.bwl.de,07431/9573710
Kirchgraben-Grundschule Ebingen  ,Landgraben 16 72458 Albstadt,poststelle@04148441.schule.bwl.de,0 74 31 / 93 53 18 - 0
Lammerberg-Realschule Tailfingen  ,Lammerbergstr. 72 72461 Albstadt,poststelle@04119921.schule.bwl.de,07432/2009060
Langenwand- Eyachquellgrundschule  ,Vogelsangstr. 46 72461 Albstadt,poststelle@04148544.schule.bwl.de,07432/3565
"Lutherschule, Grundschule   ",Martin-Luther-Str. 25 72461 Albstadt,poststelle@04148520.schule.bwl.de,07432/4441
Oststadt-Grundschule Ebingen   ,Flandernstr. 25 72458 Albstadt,poststelle@04148465.schule.bwl.de,07431/3817
Priv. Grundschule Malesfelsen   ,Unter dem Malesfelsen 70 72458 Albstadt,,
Priv. Schulkindergarten für Sprachbehinderte  ,Rossentalstr. 33 72461 Albstadt,,
Priv. Sonderschulkindergarten für Körperbehinderte  ,Rossentalstr. 33 72461 Albstadt,,07432/3666
Private Abendrealschule   ,Hohenzollernstr. 6 72458 Albstadt,,07431/53635
Private Modeschule   ,Gartenstr. 88 72458 Albstadt,,
Privater Sonderschulkindergarten für Geistigbehinderte ,Rossentalstr. 33 72461 Albstadt,,
Progymnasium Tailfingen   ,Wolfsgrubenstr. 60 72461 Albstadt,poststelle@04112057.schule.bwl.de,07432/4568
Rossentalschule Sonderpädagogisches Bildungs- und Beratungszentrum Geistige Entwicklung,Rossentalstr. 45 72461 Albstadt,poststelle@04110796.schule.bwl.de,07432//907470
Schalksburg-Schule Grundschule Ebingen  ,Lautlinger Str. 200 72458 Albstadt,poststelle@04148453.schule.bwl.de,07431/71936
Schillerschule Onstmettingen Grund- u. Werkrealschule  ,Johannes-Raster-Str. 4 72461 Albstadt,poststelle@04148507.schule.bwl.de,07432/2755
Schloßberg-Realschule Ebingen   ,Hohenzollernstr. 6 72458 Albstadt,poststelle@04119933.schule.bwl.de,07431/134270
Staatliches Schulamt Albstadt  ,Lautlinger Str. 147-149 72458 Albstadt,poststelle@ssa-als.kv.bwl.de,07431/9392-0
Walther-Groz-Schule Kaufm. Schule  ,Johannesstr. 4 72458 Albstadt,poststelle@04100973.schule.bwl.de,07431/121144
Wilhelm-Hauff-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Vogelsangstr. 46-1 72461 Albstadt,poststelle@04160842.schule.bwl.de,07432/983760
Zollernschule Private Berufliche Schule  ,Auf Lauen 12-17 72461 Albstadt,poststelle@04313233.schule.bwl.de,07432/2080
Schulzentrum Aldingen Grund- und Gemeinschaftsschule  ,Heubergstr. 30-32 78554 Aldingen,poststelle@04152134.schule.bwl.de,07424/87025
Grundschule Hellershof   ,Cronhütteweg 15 73553 Alfdorf,poststelle@04126068.schule.bwl.de,07182/6107
Schlossgartenschule Alfdorf Grund- und Werkrealschule  ,Obere Schloßstr. 70 73553 Alfdorf,poststelle@04126044.schule.bwl.de,07172/939164
Schule im Lindengarten Grundschule Pfahlbronn ,Schulstr. 17 73553 Alfdorf,poststelle@04126056.schule.bwl.de,07172/3406
Grundschule Allensbach   ,Schulstr. 12 78476 Allensbach,poststelle@04146912.schule.bwl.de,07533/97708
Grundschule Hegne   ,Zum Schwarzenberg 1 78476 Allensbach,poststelle@04146924.schule.bwl.de,07533/2703
Marianum Hegne Zentrum für Bildung und Erziehung ,Konradistr. 16 78476 Allensbach,poststelle@04304177.schule.bwl.de,07533/807-611
Grundschule   ,Schule im Grund 108 88422 Alleshausen,poststelle@04117894.schule.bwl.de,07582/8179
Grundschule   ,Marienstr. 18 89604 Allmendingen,poststelle@04135318.schule.bwl.de,07391/753915
Grundschule Weilersteußlingen   ,Schulweg 8 89604 Allmendingen,poststelle@04163909.schule.bwl.de,07384/411
Grundschule im Wacholder   ,Im Wacholder 59 71573 Allmersbach im Tal,poststelle@04126081.schule.bwl.de,07191/310595
Grundschule Alpirsbach   ,Schillerstr. 12 72275 Alpirsbach,poststelle@04165864.schule.bwl.de,07444/95190
Progymnasium Alpirsbach   ,Sulzberg 52 72275 Alpirsbach,poststelle@04105119.schule.bwl.de,07444/9518241
Werkrealschule und Realschule Oberes Kinzigtal  ,Sulzberg 52 72275 Alpirsbach,poststelle@04132020.schule.bwl.de,07444/95180
Grundschule Altbach   ,Schillerstr. 16 73776 Altbach,poststelle@04122270.schule.bwl.de,07153/898810
Adolf-Rehn-Schule Grundschule  ,Schulstr. 19 71155 Altdorf,poststelle@04121307.schule.bwl.de,07031/605752
Grundschule Altdorf   ,Neckartenzlinger Str. 2 72655 Altdorf,poststelle@04122282.schule.bwl.de,07127/924900
Grundschule Altenriet   ,Walddorfer Str. 65 72657 Altenriet,poststelle@04122294.schule.bwl.de,07127/9756710
Schulwerkstatt e.V. Schule für lebendiges Lernen  ,Walddorfer Str. 96 72657 Altenriet,,07127/925993
Christophorus-Gymnasium Altensteig  ,Gymnasiumstr. 18 72213 Altensteig,poststelle@04164823.schule.bwl.de,07453/9461-6630 
Friedrich-Boysen-Realschule Altensteig  ,Speidelstr. 19 72213 Altensteig,poststelle@04118941.schule.bwl.de,07453/9461-6512
Grundschule Walddorf   ,Schulstr. 10 72213 Altensteig,poststelle@04131106.schule.bwl.de,07458/334
Hohenberg-Werkrealschule   ,Lerchenstr. 14 72213 Altensteig,poststelle@04131088.schule.bwl.de,07453/9461-6591
Markgrafenschule Altensteig GS   ,Dorferstr. 70 72213 Altensteig,poststelle@04131076.schule.bwl.de,07453/9461-6400
Markgrafenschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Dorferstr. 70 72213 Altensteig,poststelle@04107943.schule.bwl.de,07453/9461-6400
Freie Realschule Altheim (Alb)   ,Lange Str. 18 89174 Altheim (Alb),poststelle@04318942.schule.bwl.de,07340 9678-20
Grundschule   ,Konradin-Kreutzer-Str. 3 88499 Altheim,poststelle@04117900.schule.bwl.de,07371/3959
Gemeinschaftsschule Althengstett  ,Schulstr. 9-15 75382 Althengstett,poststelle@04131118.schule.bwl.de,07051/930013
Realschule Althengstett   ,Schulstr. 9-15 75382 Althengstett,poststelle@04118953.schule.bwl.de,07051/930007
Anna-Haag-Grundschule Althütte   ,Schulstr. 15 71566 Althütte,poststelle@04126093.schule.bwl.de,07183/41333
Grundschule Sechselberg   ,Murrhardter Str. 4 71566 Althütte,poststelle@04126111.schule.bwl.de,07192/6841
Albert-Schweitzer-Schule Grundschule Altlußheim ,Mozartstr. 2 68804 Altlußheim,poststelle@04141264.schule.bwl.de,06205/33779
Markus-Schule - Realschule Freie Christliche Schule Altlußheim ,Hockenheimer Str. 68 68804 Altlußheim,poststelle@04317974.schule.bwl.de,0 62 05/28 53 89 
Herzog-Philipp-Verbandsschule Grund- u. Werkrealschule  ,Ebersbacher Str. 20 88361 Altshausen,poststelle@04139579.schule.bwl.de,07584/92270
Progymnasium   ,Ebersbacher Str. 18 88361 Altshausen,poststelle@04106562.schule.bwl.de,07584/920780
Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen ,Ebersbacher Str. 10 88361 Altshausen,poststelle@04109241.schule.bwl.de,07584/2059
Gemeinschaftsschule Ammerbuch  ,Alemannenweg 21 72119 Ammerbuch,poststelle@04144782.schule.bwl.de,0 70 73 / 91 71 11 60
Grundschule Altingen   ,Schulstr. 14 72119 Ammerbuch,poststelle@04166893.schule.bwl.de,07073 9171-5160
Grundschule Entringen   ,Alemannenweg 21 72119 Ammerbuch,poststelle@04144800.schule.bwl.de,07073/9171 1160
Grundschule Pfäffingen   ,Michaelstr. 15 72119 Ammerbuch,poststelle@04144812.schule.bwl.de,07073 9171-2160
Grundschule Poltringen   ,Aiblestr. 15 72119 Ammerbuch,poststelle@04144824.schule.bwl.de,07073/9171-3160
Gemeinschaftsschule Lonetal   ,Lonetalstr. 15 73340 Amstetten,poststelle@04135355.schule.bwl.de,0 73 31 / 30 06 21
Grundschule Schalkstetten   ,Poststr. 10 73340 Amstetten,poststelle@04135938.schule.bwl.de,07331/41260
Ländl. Schulzentrum Amtzell Gemeinschaftsschule  ,Schulstr. 14 88279 Amtzell,poststelle@04139580.schule.bwl.de,07520/95620
Sonnenberg-Schule Grund- und Werkrealschule  ,Schulstr. 28 74918 Angelbachtal,poststelle@04147667.schule.bwl.de,07265/7424
Grundschule Nesselried   ,Nußbacher Str. 4 77767 Appenweier,poststelle@04163120.schule.bwl.de,07805/3591
Schauenburg-Schule Grundschule Urloffen  ,Schauenburgstr. 4 77767 Appenweier,poststelle@04155676.schule.bwl.de,07805/97236
Schwarzwald-Schule Gemeinschaftsschule  ,Oberkircher Str. 24 77767 Appenweier,poststelle@04158239.schule.bwl.de,07805/95510
Gemeinschaftsschule   ,Eisenharzer Weg 7 88260 Argenbühl,poststelle@04142712.schule.bwl.de,07566 94000-0
Grundschule Christazhofen-Ratzenried  ,Schulstr. 15 88260 Argenbühl,poststelle@04142773.schule.bwl.de,07522/97000511
Grundschule Eglofs-Eisenharz   ,Kirchstr. 6 88260 Argenbühl,poststelle@04142724.schule.bwl.de,0 75 66 / 26 37
Conrad-Weiser-Schule Aspach Gemeinschaftsschule  ,Hermann-Schadt-Str. 17 71546 Aspach,poststelle@04126135.schule.bwl.de,07191/20313
Grundschule Allmersbach am Weinberg  ,Weinstr. 39 71546 Aspach,poststelle@04126123.schule.bwl.de,07191/20207
Grundschule Kleinaspach   ,Schulstr. 8 71546 Aspach,poststelle@04126147.schule.bwl.de,07148/4946
Friedrich-Hölderlin-Schule Grundschule  ,Lyonel-Feininger-Weg 1 71679 Asperg,poststelle@04116233.schule.bwl.de,07141/6812160
Friedrich-List-Gymnasium   ,Lyonel-Feininger-Weg 3 71679 Asperg,poststelle@04103482.schule.bwl.de,07141/68121-10
Goetheschule Grundschule  ,Wilhelmstr. 17 71679 Asperg,poststelle@04116245.schule.bwl.de,07141/681200
Internationaler Bund Private Berufliche  Schulen  ,Eglosheimer Str. 92/94 71679 Asperg,poststelle@04312575.schule.bwl.de,07141 298980
Grundschule Assamstadt   ,Wännleinweg 2 97959 Assamstadt,poststelle@04128181.schule.bwl.de,06294/884
Grundschule   ,Bachstr. 7 88448 Attenweiler,poststelle@04117912.schule.bwl.de,07357/2275
Grundschule   ,Jahnstr. 1 76474 Au am Rhein,poststelle@04143017.schule.bwl.de,07245/937603
Grundschule Lippoldsweiler   ,Ammerweg 8 71549 Auenwald,poststelle@04126160.schule.bwl.de,07191/57181
Grundschule Unterbrüden-Oberbrüden  ,Beaurepaire-Str. 3 71549 Auenwald,poststelle@04126172.schule.bwl.de,07191/5530
Brunwart-v.Augheim-Grundschule   ,Hauptstr. 50 79424 Auggen,poststelle@04145695.schule.bwl.de,07631/4177
Grundschule   ,Schulstr. 21 88326 Aulendorf,poststelle@04158203.schule.bwl.de,07525/9218-0
Gymnasium   ,Schussenrieder Str. 25 88326 Aulendorf,poststelle@04106574.schule.bwl.de,07525/9238101
Schule am Schlosspark Realschule und Werkrealschule  ,Schussenrieder Str. 25 88326 Aulendorf,poststelle@04160556.schule.bwl.de,07525/92381-02
Studienkolleg St.Johann Gymnasium  ,Arnold-Janssen-Str. 10/1 88326 Aulendorf,poststelle@04301036.schule.bwl.de,07525/949280
Altenpflegeschule Staigacker   ,Staigacker 3 71522 Backnang,,07191/146-280
"Anna-Haag-Schule Backnang Schule für Soziales, Ernährung und Gesundheit ",Heininger Weg 43 71522 Backnang,poststelle@04102544.schule.bwl.de,07191/896-300
Eduard-Breuninger-Schule Backnang Kaufmännische Schule ,Heininger Weg 43 71522 Backnang,poststelle@04100018.schule.bwl.de,07191/896-400
Freie Waldorfschule Backnang  ,Hohenheimer Str. 20 71522 Backnang,,07191/34450
Gemeinschaftsschule in der Taus  ,Seelacher Weg 40 71522 Backnang,poststelle@04126202.schule.bwl.de,07191/3265-0
Gewerbliche Schule Backnang   ,Heininger Weg 43 71522 Backnang,poststelle@04101151.schule.bwl.de,07191/896-600
Grundschule Maubach   ,Stubener Weg 1 71522 Backnang,poststelle@04165724.schule.bwl.de,07191/95240-0
Gymnasium in der Taus   ,Häfnersweg 63 71522 Backnang,poststelle@04103500.schule.bwl.de,07191/90460
Max-Born-Gymnasium   ,Maubacher Str. 62 71522 Backnang,poststelle@04103494.schule.bwl.de,07191/9140-0
Max-Eyth-Realschule   ,Hohenheimer Str. 10 71522 Backnang,poststelle@04113153.schule.bwl.de,07191/9043411
Mörikeschule Gemeinschaftsschule  ,Richard-Wagner-Str. 9 71522 Backnang,poststelle@04126184.schule.bwl.de,07191/32640
Pestalozzischule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Bahnhofstr. 3 71522 Backnang,poststelle@04106628.schule.bwl.de,07191/952260
Plaisir-Grundschule   ,Berliner Ring 18 71522 Backnang,poststelle@04126238.schule.bwl.de,07191/90430
Schickhardt-Realschule   ,Richard-Wagner-Str. 9 71522 Backnang,poststelle@04113165.schule.bwl.de,07191/9303-6
Schillerschule Grundschule  ,Bahnhofstr. 3 71522 Backnang,poststelle@04126196.schule.bwl.de,07191/952270
Staatliches Schulamt Backnang  ,Spinnerei 48 71522 Backnang,poststelle@ssa-bk.kv.bwl.de,07191/3454-0
Talschule Grundschule Waldrems  ,Bietigheimer Str. 50 71522 Backnang,poststelle@04126226.schule.bwl.de,07191/933 82-0
Sonnenrainschule Grundschule  ,Schulstr. 12 79415 Bad Bellingen,poststelle@04154350.schule.bwl.de,07635/759
"Heil- und Erziehungsinstitiut  Priv.sonderp.Bildungs- und  Beratungszentrum am Heim FSP geist. E, körperl. motor.Entw.",Dorfstr. 42 73087 Bad Boll,poststelle@04301309.schule.bwl.de,07164/91000-0
Heinrich-Schickhardt-Schule Bad Boll Gemeinschaftsschule ,Schulweg 1 73087 Bad Boll,poststelle@04113967.schule.bwl.de,07164/912170
Rudolf-Steiner-Seminar für Heilpädagogik  ,Michael-Hörauf-Weg 6 73087 Bad Boll,,07164/3149
Federseeschule Gemeinschaftsschule  ,Auf dem Bahndamm 3 88422 Bad Buchau,poststelle@04117924.schule.bwl.de,07582/93290
Progymnasium   ,Schloßplatz 88422 Bad Buchau,poststelle@04111594.schule.bwl.de,07582/93300
Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen ,Auf dem Bahndamm 3 88422 Bad Buchau,poststelle@04158057.schule.bwl.de,07582/91777
Hiltenburgschule Grundschule  ,Mühlstr. 15 73342 Bad Ditzenbach,poststelle@04113803.schule.bwl.de,07334/8894
Oberberg-Schule Sonderberufsschule Bruderhaus Deggingen ,Jägersteig 6-8 73342 Bad Ditzenbach,,07334/7010
Ulrich-Schiegg-Schule Grundschule Gosbach ,Schulstr. 7 73342 Bad Ditzenbach,poststelle@04163193.schule.bwl.de,07335/5680
Grund- und Werkrealschule Bad Dürrheim  ,Schulstr. 5 78073 Bad Dürrheim,poststelle@04151002.schule.bwl.de,07726/9779-09
Ostbaarschule Grundschule Oberbaldingen  ,Schulplatz 10 78073 Bad Dürrheim,poststelle@04151014.schule.bwl.de,07706/919900
Realschule   ,Am Salinensee 78073 Bad Dürrheim,poststelle@04119441.schule.bwl.de,07726 92826-11
Sonderpädagogisches Bildungs- und Beratungszentrum Schüler in längerer Krankenhausbehandlung,Luisenstr. 56 78073 Bad Dürrheim,poststelle@04162516.schule.bwl.de,07726/668500
Bethesda-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Schüler in Krankenhausbehandl.,Wilhelmstr. 12 74177 Bad Friedrichshall,poststelle@04162917.schule.bwl.de,07136/971570
Friedrich-v.-Alberti-Gymnasium   ,Hohe Str. 30 74177 Bad Friedrichshall,poststelle@04165141.schule.bwl.de,07136/832800
Grundschule Duttenberg   ,Zur Schön 32 74177 Bad Friedrichshall,poststelle@04163612.schule.bwl.de,07136/832-200
Grundschule Hagenbach   ,Ohrnberger Str. 4 74177 Bad Friedrichshall,poststelle@04123511.schule.bwl.de,07136/832270
Grundschule Höchstberg-Untergriesheim  ,Austr. 11 74177 Bad Friedrichshall,poststelle@04123833.schule.bwl.de,07136 832-210
